Food Description,type,Serving,Date,Meal,Sugar,Sodium,Fat,Protein,Calories,Carbohydrates,Water Intake (fl oz)
Dairy Queen - Crispy Chicken Salad,meats,424 g,4/27/2019,Dinner,8,1240,26,30,470,29,34
Dairy Queen - Turtle Waffle Bowl Sundae,dessert,304 g,4/27/2019,Dinner,74,300,35,11,810,115,34
Dairy Queen - Chicken Strip Basket,meats,3 Pieces,4/27/2019,Dinner,3,2085,40,26,773,79,34
Budweiser - Bud Light 4.2,juice,24 oz,4/27/2019,Snacks,0,0,0,2,220,13,34
Denny's - Cinnamon Roll Pancakes,dessert,2 pancakes,4/28/2019,Breakfast,184,1760,34,10,1350,247,51
Dennys - Veggie Cheese Omelette,grains,1 serving,4/28/2019,Breakfast,4,680,33,28,460,9,51
Denny's - English Muffin,dessert,1 serving(s),4/28/2019,Breakfast,1,250,1,4,130,25,51
Smucker's - Pure Strawberry Jelly,dessert,1 tbsp (15ml),4/28/2019,Breakfast,12,0,0,0,50,13,51
Nuts.com - Healthy Trail Mix,fats&seasoning,1 packet,4/28/2019,Lunch,20,30,6,2,165,29,51
Nuts.com - Dried Pineapple Slices,fruits,40 g,4/28/2019,Lunch,30,20,0,0,140,35,51
Aladdin - Spaghetti & Meat Sauce,grains,8 oz,4/28/2019,Dinner,6,606,12,18,351,43,51
Outtakes - Mixed Vegetable Salad,vegetables,1 each,4/28/2019,Dinner,6,822,9,7,150,13,51
Orowheat - 12 Grain Bread,grains,2 slice,4/28/2019,Dinner,4,340,5,8,200,28,51
Pineapple slices - Slices,fruits,10 slices,4/28/2019,Snacks,70,50,0,0,300,75,51
Blueberries,fruits,2 cup,4/28/2019,Snacks,30,2,1,2,170,42,51
Generic - Taylor Ham Egg and Cheese Sandwich,grains,1 Sandwich,4/29/2019,Breakfast,0,1006,16,20,348,30,34
Supermarket - Banana,fruits,1 banana,4/29/2019,Breakfast,0,1,0,0,105,27,34
Hammer Gel - Raspberry,fruits,1 packet (1.2 oz / 33g),4/29/2019,Breakfast,2,20,0,0,90,22,34
Coldstone Creamery - Waffle Cone or Bowl,dessert,1 Cone or Bowl,4/29/2019,Lunch,10,40,2,1,110,21,34
Coldstone Cramery - Dark Chocolate,dessert,227 g,4/29/2019,Lunch,46,150,32,16,540,51,34
Hershey - Reese's,dessert,0.5 pack,4/29/2019,Lunch,11,75,7,3,105,12,34
Kitkat - Kit Kat,dessert,2 sticks,4/29/2019,Lunch,0,0,6,2,105,14,34
Taziki's - Lamb Gyro (Site),meats,1 pita,4/29/2019,Dinner,0,897,33,35,651,54,34
gala apples - Apple,fruits,154 g,4/29/2019,Snacks,16,0,0,0,80,22,34
Egg - Egg,meats,2 large,4/30/2019,Breakfast,0,142,10,13,143,1,102
gala apples - Apple,fruits,154 g,4/30/2019,Breakfast,16,0,0,0,80,22,102
Subway - Sweet Onion Chicken Terriyaki - Footlong on Italian Herbs and Cheese,meats,"12 "" sub",4/30/2019,Lunch,31,2280,15,52,810,110,102
Subway - Chocolate Chip Cookie (Website),dessert,45 g,4/30/2019,Lunch,18,120,10,2,210,29,102
Girl Scouts - Thin Mints,dessert,8 cookies (32g),4/30/2019,Dinner,20,250,16,2,320,44,102
Pizza - Cheese Pizza,grains,4 slice (108g),4/30/2019,Dinner,17,2260,40,48,1108,144,102
Garden Salad - Salad,vegetables,4 cups,4/30/2019,Dinner,4,78,2,8,118,4,102
Homemade - Koupepia,meats,300 gr,4/30/2019,Dinner,2,1260,42,24,585,28,102
Nuts.com - Dried Apples,fruits,40 g (1.4 oz),4/30/2019,Snacks,25,140,0,1,120,30,102
Nuts.com - Dried Pineapple Slices,fruits,40 g,4/30/2019,Snacks,30,20,0,0,140,35,102
Kashi - Blueberry Clusters,fruits,1 cup,5/1/2019,Breakfast,12,135,2,6,200,44,51
Kashi - Golean Cinnamon Crisp,dessert,0.75 cup,5/1/2019,Breakfast,9,125,4,11,180,32,51
Supermarket - Banana,fruits,1 banana,5/1/2019,Breakfast,0,1,0,0,105,27,51
Kroger Milk - Fat Free,juice,16 oz,5/1/2019,Breakfast,22,240,0,16,160,24,51
Homemade - Jumbalaya,grains,1 1/2 cup cooked,5/1/2019,Dinner,0,442,5,37,378,45,51
Body Armor - Drink fruit punch,juice,1 cup,5/1/2019,Snacks,18,20,0,0,70,18,51
Supermarket - Banana,fruits,1 banana,5/1/2019,Snacks,0,1,0,0,105,27,51
Nuts.com - Healthy Trail Mix,fats&seasoning,2 packet,5/1/2019,Snacks,40,60,12,4,330,58,51
gala apples - Apple,fruits,154 g,5/2/2019,Breakfast,16,0,0,0,80,22,119
Generic - Taylor Ham Egg and Cheese Sandwich,grains,1 Sandwich,5/2/2019,Breakfast,0,1006,16,20,348,30,119
Subway - Chocolate Chip Cookie (Website),dessert,90 g,5/2/2019,Breakfast,36,240,20,4,420,58,119
Tea's Tea - Chai Tea Latte,juice,8 fl oz,5/2/2019,Breakfast,17,35,0,2,80,18,119
Supermarket - Banana,fruits,1 banana,5/2/2019,Breakfast,0,1,0,0,105,27,119
Purdy's - 88% Dark Chocolate,dessert,0.5 bar,5/2/2019,Dinner,2,2,7,1,70,2,119
Minneola - Minneola,fruits,2 (approx 109 g),5/2/2019,Dinner,18,4,2,2,140,26,119
Homemade - Vegan Mac and Cheese,fats&seasoning,10 oz,5/2/2019,Dinner,0,330,0,13,330,35,119
Homemade - Red Kidney Beans,fats&seasoning,3 cup (boiled),5/2/2019,Dinner,0,21,1,48,675,120,119
David's  gluten free - Cranberry orange oatmeal bar,dessert,1 bar,5/2/2019,Snacks,34,0,16,5,400,63,119
Sharky's - Tofu & Veggie Taco,grains,3 taco,5/3/2019,Breakfast,9,1045,23,31,720,100,85
Canary - Melon,fruits,1 cup,5/3/2019,Breakfast,10,20,0,2,50,10,85
Celestial Seasonings - Honey Lemon Ginseng Green Tea,juice,2 tea bag,5/3/2019,Breakfast,0,0,0,0,0,0,85
Generic - Pork Tenderloin Sandwich,grains,1 sandwich,5/3/2019,Lunch,0,0,14,32,353,33,85
Fries - Fries,fats&seasoning,1 cup,5/3/2019,Lunch,0,0,3,2,110,20,85
Chicken - Roasted,meats,3 medium breast,5/3/2019,Dinner,0,0,12,93,495,0,85
Potatoes - Roasted,grains,"With Salt and Broth, 1 cup",5/3/2019,Dinner,1,10,5,3,160,27,85
Zucchini - Cooked,vegetables,0.75 squash,5/3/2019,Dinner,3,3,0,1,22,5,85
Coke - Cherry,juice,12 oz,5/3/2019,Dinner,42,35,0,0,150,42,85
Lotus - Biscoff Cookies,dessert,10 cookie (8 grams),5/3/2019,Dinner,90,288,15,5,380,58,85
Supermarket - Banana,fruits,1 banana,5/3/2019,Snacks,0,1,0,0,105,27,85
Nuts.com - Healthy Trail Mix,fats&seasoning,2 packet,5/3/2019,Snacks,40,60,12,4,330,58,85
Kirkland - Dark Chocolate Covered Coconut,dessert,1 package (20g),5/3/2019,Snacks,14,130,12,1,180,20,85
Philadelphia - Cheesesteak,meats,6.6 -oz Cheesesteak sandwich,5/4/2019,Breakfast,7,765,11,15,359,51,51
A&w - Root Beer Can,juice,12 fl oz (355 ml),5/4/2019,Breakfast,45,65,0,0,170,47,51
Panera - Frontega Chicken Panini,meats,0.5 Whole,5/4/2019,Dinner,2,1020,15,23,395,42,51
Panera - Southwest Chili Lime Salad With Chicken,meats,1/2 size,5/4/2019,Dinner,2,270,13,17,190,6,51
Panera Bread - French Baguette,grains,1 piece,5/4/2019,Dinner,1,370,1,5,150,30,51
Nuts.com - Healthy Trail Mix,fats&seasoning,2 packet,5/4/2019,Snacks,40,60,12,4,330,58,51
Kirkland - Dark Chocolate Covered Coconut,dessert,0.5 package (20g),5/4/2019,Snacks,7,65,6,1,90,10,51
Minneola - Minneola,fruits,1 (approx 109 g),5/4/2019,Snacks,9,2,1,1,70,13,51
Big chewy - Granola Bar,dessert,4 bar,5/4/2019,Snacks,52,480,24,8,720,120,51
Kroger - Mini Cinnamon Roll,dessert,1 piece (9g),5/5/2019,Breakfast,5,60,3,1,60,9,68
Milk,juice,"2% fat, 1 cup",5/5/2019,Breakfast,12,116,5,8,123,12,68
Biscuits and Gravy - Sausage Gravy & Biscuit,dessert,"0.5 biscuit, 1/2 cups",5/5/2019,Breakfast,0,60,6,12,200,15,68
Egg Muffin - English Muffin,dessert,"Egg, Cheese, 1 Muffin",5/5/2019,Breakfast,0,280,24,16,380,24,68
English muffin - English Muffin,dessert,1 muffin,5/5/2019,Breakfast,1,200,1,4,120,25,68
Smucker's - Pure Strawberry Jelly,dessert,2 tbsp (15ml),5/5/2019,Breakfast,24,0,0,0,100,26,68
Blueberry muffins - Blueberry Muffins,dessert,2 muffin,5/5/2019,Breakfast,16,180,10,2,200,28,68
Dannon - Light & Fit (Peach),dessert,"1 container, 6 oz",5/5/2019,Breakfast,10,75,0,5,80,14,68
Cheerios - Mini Box,dessert,1 box,5/5/2019,Lunch,1,95,1,2,60,12,68
KELLOGS - RICE KRISPIES INDIVIDUAL BOX (corrected JJ 7-13-18),grains,1 BOX (25g),5/5/2019,Lunch,3,125,0,2,100,22,68
Azteca - Chicken Fajita Burritos,grains,1 burrito with rice,5/5/2019,Dinner,5,0,37,58,866,75,68
Big chewy - Granola Bar,dessert,2 bar,5/5/2019,Snacks,26,240,12,4,360,60,68
Giant - Caramel Apple Cookie,dessert,1 Cookie,5/5/2019,Snacks,18,180,7,1,170,26,68
Vegan Garden - Peanut Butter Cookie,dessert,1 cookie,5/5/2019,Snacks,15,40,13,4,241,28,68
Frozen yogurts - Chocolate,dessert,"soft-serve, 0.5 cup (4 fl oz)",5/5/2019,Snacks,0,71,4,3,115,18,68
Subway - Chocolate Chip Cookie (Website),dessert,90 g,5/5/2019,Snacks,36,240,20,4,420,58,68
Kashi - Warm Cinnamon Cereal,grains,1.5 cup,5/6/2019,Breakfast,10,160,3,8,240,50,119
Milk,juice,"2% fat, 1 cup",5/6/2019,Breakfast,12,116,5,8,123,12,119
Waffle House - Wheat Toast 2 Slice,grains,1 slices,5/6/2019,Breakfast,2,110,1,4,70,15,119
Skippy naturals - Peanut butter,fats&seasoning,2 tbsp,5/6/2019,Breakfast,3,150,16,7,190,6,119
Supermarket - Banana,fruits,1 banana,5/6/2019,Breakfast,0,1,0,0,105,27,119
Millville - Elevation Chocolate Coconut Bar,dessert,1 bar,5/6/2019,Breakfast,1,70,11,5,160,19,119
Taco Salad - Taco Salad,vegetables,1 Portion,5/6/2019,Lunch,2,500,14,22,530,7,119
Pork - Pork Chops,meats,12 oz,5/6/2019,Dinner,3,630,14,69,390,3,119
Texas Toast - Texas Toast,grains,4 Slice,5/6/2019,Dinner,0,0,4,12,400,80,119
Garden Salad - Salad,vegetables,2 cups,5/6/2019,Dinner,2,39,1,4,59,2,119
Diced Potatoes - Potatoes,grains,1 cup,5/6/2019,Dinner,1,9,0,3,116,26,119
Big chewy - Granola Bar,dessert,2 bar,5/6/2019,Snacks,26,240,12,4,360,60,119
Dairy Queen - Peanut Butter Cup Blizzard,dessert,"Small, 1 Serving",5/6/2019,Snacks,68,290,23,15,570,79,119
Supermarket - Banana,fruits,1 banana,5/7/2019,Breakfast,0,1,0,0,105,27,119
Orowheat - 12 Grain Bread,grains,2 slice,5/7/2019,Breakfast,4,340,5,8,200,28,119
Skippy naturals - Peanut butter,fats&seasoning,2 tbsp,5/7/2019,Breakfast,3,150,16,7,190,6,119
Juice - Apple Juice,juice,24 oz,5/7/2019,Breakfast,84,105,0,3,330,84,119
Millville - Elevation Chocolate Coconut Bar,dessert,1 bar,5/7/2019,Breakfast,1,70,11,5,160,19,119
Gatorade Zero - Lemon Lime,juice,12 oz,5/7/2019,Lunch,0,100,0,0,0,0,119
Casey's - Pizza - Sausage,grains,2 slice,5/7/2019,Lunch,0,976,24,23,524,59,119
Kitkat - Kit Kat,dessert,12 sticks,5/7/2019,Lunch,0,0,33,9,630,81,119
Taziki's - Lamb Gyro (Site),meats,1 pita,5/7/2019,Lunch,0,897,33,35,651,54,119
Clementines,fruits,1 clementine,5/7/2019,Dinner,7,1,0,1,35,9,119
Subway - 6inch Buffalo Chicken,meats,1 sandwich,5/7/2019,Dinner,7,1220,19,29,400,42,119
"Subway - 12"" Buffalo Chicken",meats,12 Inch,5/7/2019,Dinner,26,2760,21,54,840,109,119
Snack Sticks - Venison,meats,4 oz,5/7/2019,Snacks,0,1100,12,20,220,0,119
Big chewy - Granola Bar,dessert,1 bar,5/7/2019,Snacks,13,120,6,2,180,30,119
M & Ms - Peanut Butter,fats&seasoning,81 gram,5/7/2019,Snacks,40,171,23,9,400,46,119
Snicker's (Corrected) - Ice Cream Bar,dessert,68 grams,5/7/2019,Snacks,21,75,15,4,250,25,119
Hershey's - Milk Chocolate bar with Almonds (from pkg-Jul 2018),dessert,41 gram,5/7/2019,Snacks,19,25,14,4,210,22,119
Kroger - Mini Cinnamon Roll,dessert,1 piece (9g),5/8/2019,Breakfast,5,60,3,1,60,9,17
Waffle House - 2 Scrambled Eggs,meats,2 eggs,5/8/2019,Breakfast,2,120,14,12,180,0,17
Chobani - Strawberry,fruits,1 cup,5/8/2019,Breakfast,15,60,0,12,120,19,17
English muffin - English Muffin,dessert,1 muffin,5/8/2019,Breakfast,1,200,1,4,120,25,17
Smucker's - Pure Strawberry Jelly,dessert,1 tbsp (15ml),5/8/2019,Breakfast,12,0,0,0,50,13,17
Skippy naturals - Peanut butter,fats&seasoning,1 tbsp,5/8/2019,Breakfast,2,75,8,4,95,3,17
Biscuits and Gravy - Sausage Gravy & Biscuit,dessert,"0.5 biscuit, 1/2 cups",5/8/2019,Breakfast,0,60,6,12,200,15,17
Blueberry muffins - Blueberry Muffins,dessert,2 muffin,5/8/2019,Breakfast,16,180,10,2,200,28,17
Juice - Apple Juice,juice,8 oz,5/8/2019,Breakfast,28,35,0,1,110,28,17
Generic - Cajun Chicken Sandwich,grains,1 Sandwich,5/8/2019,Lunch,0,785,8,24,345,46,17
Outtakes - French Fries,fats&seasoning,0.5 cup,5/8/2019,Lunch,0,304,11,2,197,23,17
Taco Salad - Taco Salad,vegetables,1 Portion,5/8/2019,Dinner,2,500,14,22,530,7,17
Lipton Tea - Hot Tea With Honey,juice,1 tsp,5/8/2019,Snacks,5,0,0,0,20,6,17
Big chewy - Granola Bar,dessert,1 bar,5/8/2019,Snacks,13,120,6,2,180,30,17
Generic - Deer and Cheddar Stick,dessert,3 Stick,5/8/2019,Snacks,0,351,19,71,453,0,17
Kroger Deluxe - Death by Chocolate Ice Cream,dessert,0.5 cup (70 grams),5/8/2019,Snacks,12,75,8,3,160,20,17
Special K - Strawberry Cereal,grains,124 g/1 cup,5/9/2019,Breakfast,36,760,0,8,440,108,119
Milk,juice,"2% fat, 2 cup",5/9/2019,Breakfast,25,231,10,16,246,24,119
Mcdonald's - Sausage Muffin,dessert,1 sandwich,5/9/2019,Breakfast,2,820,22,15,370,31,119
Homemade - Chicken and Vegetable Soup - Homemade,meats,16 oz,5/9/2019,Dinner,0,45,2,12,180,2,119
Aladdin - Roasted Chicken Breast,meats,4 Each,5/9/2019,Dinner,0,728,16,103,588,0,119
nature valley crunch - snack pack,dessert,1 pack,5/9/2019,Snacks,0,0,7,3,160,22,119
Lays - Cheddar and Sour Cream Ruffles,dessert,1.5 oz,5/9/2019,Snacks,2,280,15,3,230,23,119
Chobani - Greek Nonfat Plain Yogurt,dessert,2 cup (227g),5/9/2019,Snacks,12,170,0,44,240,18,119
Rasperry - Rasperry,fruits,100 g,5/9/2019,Snacks,10,0,0,4,94,19,119
Grapes - Raw,fruits,1 cup,5/9/2019,Snacks,15,2,0,1,62,16,119
Blackberries,fruits,1 cup,5/9/2019,Snacks,7,1,1,2,62,14,119
Quest Nutrition - Oatmeal Chocolate Chip,dessert,60 grams,5/9/2019,Snacks,1,190,7,20,190,23,119
Chocolate Chip Cookie Dough. - Quest Bar,dessert,1 bar,5/10/2019,Breakfast,1,190,9,21,200,21,102
Supermarket - Banana,fruits,1 banana,5/10/2019,Breakfast,0,1,0,0,105,27,102
Plain Chobani - Plain,dessert,2 cup,5/10/2019,Breakfast,14,160,0,36,200,14,102
Rasperry - Rasperry,fruits,100 g,5/10/2019,Breakfast,10,0,0,4,94,19,102
Blackberries,fruits,1 cup,5/10/2019,Breakfast,7,1,1,2,62,14,102
Grapes - Raw,fruits,1 cup,5/10/2019,Breakfast,15,2,0,1,62,16,102
Barilla - Medium Shells Pasta,grains,4 oz,5/10/2019,Dinner,4,0,2,14,400,84,102
Casa Visco - Marinara Sauce,fats&seasoning,1 cup,5/10/2019,Dinner,8,480,3,4,90,14,102
Skippy naturals - Peanut butter,fats&seasoning,4 tbsp,5/10/2019,Dinner,6,300,32,14,380,12,102
Pepperidge Farm - Cinnamon Swirl Toast,grains,2 slice,5/10/2019,Dinner,8,220,3,4,160,30,102
Supermarket - Banana,fruits,1 banana,5/10/2019,Snacks,0,1,0,0,105,27,102
gala apples - Apple,fruits,154 g,5/10/2019,Snacks,16,0,0,0,80,22,102
Nuts.com - Banana Chips Unsweetened,fruits,60 g,5/10/2019,Snacks,0,0,16,0,160,38,102
Skippy naturals - Peanut butter,fats&seasoning,2 tbsp,5/10/2019,Snacks,3,150,16,7,190,6,102
Hershey - Kit Kat Dark,dessert,1 pkg (42g),5/10/2019,Snacks,19,10,12,2,200,27,102
Hershey's Dipped Pretzels - Chocolate Dipped Pretzels,dessert,48 pieces,5/10/2019,Snacks,96,760,56,16,1120,168,102
Pepperidge Farm - Goldfish Baked Cheddar Crackers,dessert,110 pieces,5/10/2019,Snacks,0,500,10,6,280,40,102
Chocolate Chip Cookie Dough. - Quest Bar,dessert,1 bar,5/11/2019,Breakfast,1,190,9,21,200,21,71
Celestial Seasonings - Honey Lemon Ginseng Green Tea,juice,2 tea bag,5/11/2019,Breakfast,0,0,0,0,0,0,71
gala apples - Apple,fruits,154 g,5/11/2019,Breakfast,16,0,0,0,80,22,71
Pepperidge Farm - Cinnamon Swirl Toast,grains,2 slice,5/11/2019,Breakfast,8,220,3,4,160,30,71
Skippy naturals - Peanut butter,fats&seasoning,2 tbsp,5/11/2019,Breakfast,3,150,16,7,190,6,71
Trader Joe's Organic - Oatmeal,grains,1 cup uncooked,5/11/2019,Breakfast,2,260,6,8,300,54,71
Burritos - Beef,grains,14 ounces,5/11/2019,Dinner,0,0,0,0,800,0,71
Pepperidge Farm - Goldfish Baked Cheddar Crackers,dessert,220 pieces,5/11/2019,Snacks,0,1000,20,12,560,80,71
Charley's Steakery - Chicken Terriayki Sub,meats,0.5 sandwich,5/11/2019,Snacks,0,343,3,19,254,28,71
Subway - Choclate Chip Cookie,dessert,135 g,5/11/2019,Snacks,54,390,30,6,660,90,71
Hershey - Kit Kat Dark,dessert,2 pkg (42g),5/11/2019,Snacks,38,20,24,4,400,54,71
Svenhard's - Berry Horn Danish,dessert,57 g,5/12/2019,Breakfast,17,200,10,2,220,29,122
Svenhard's - Cinnamon Horn,dessert,1 pastry 2oz,5/12/2019,Breakfast,19,230,12,3,240,32,122
General Mills - Honey Nut Cheerios,dessert,56 g,5/12/2019,Breakfast,18,304,3,5,210,44,122
Milk,juice,"2% fat, 2 cup",5/12/2019,Breakfast,25,231,10,16,246,24,122
Simply Delicious Bakery - Double Chocolate Muffin,dessert,156 gram,5/12/2019,Breakfast,47,580,37,9,670,77,122
Gatorade - Gatorade Red,juice,1 bottle (20 oz),5/12/2019,Lunch,34,270,0,0,130,34,122
"Subway - 6"" Roasted Chicken",meats,2 Sandwich no cheese,5/12/2019,Lunch,16,1220,10,46,640,94,122
Lay's - Cheetos,dessert,1 bag,5/12/2019,Lunch,1,250,10,2,150,13,122
Subway - Choclate Chip Cookie,dessert,225 g,5/12/2019,Lunch,90,650,50,10,1100,150,122
Asparagus,vegetables,"10 spear, medium",5/12/2019,Dinner,3,3,0,4,32,6,122
Pasta Roni - Pasta,grains,2 oz,5/12/2019,Dinner,2,680,4,7,310,36,122
Ny Strip - Steak,meats,3 oz,5/12/2019,Dinner,0,60,17,23,250,0,122
Homemade - Koupepia,meats,400 gr,5/12/2019,Dinner,3,1680,56,32,780,37,122
Natural - Orange,fruits,1 orange,5/12/2019,Dinner,12,0,0,1,62,15,122
Strawberries,fruits,"raw, 2 cup, halves",5/12/2019,Dinner,15,3,1,2,97,23,122
gala apples - Apple,fruits,154 g,5/12/2019,Snacks,16,0,0,0,80,22,122
Skippy naturals - Peanut butter,fats&seasoning,2 tbsp,5/12/2019,Snacks,3,150,16,7,190,6,122
Nature Valley - Crunchy Granola Bar (Peanut Butter),dessert,2 bars,5/12/2019,Snacks,11,180,8,4,190,27,122
Hershey - Kit Kat Dark,dessert,2 pkg (42g),5/12/2019,Snacks,38,20,24,4,400,54,122
Natural - Orange,fruits,1 orange,5/13/2019,Breakfast,12,0,0,1,62,15,136
Milk,juice,"2% fat, 2 cup",5/13/2019,Breakfast,25,231,10,16,246,24,136
Pepperidge Farm - Cinnamon Swirl Toast,grains,2 slice,5/13/2019,Breakfast,8,220,3,4,160,30,136
Skippy naturals - Peanut butter,fats&seasoning,2 tbsp,5/13/2019,Breakfast,3,150,16,7,190,6,136
Post - Raisin Bran,fruits,3 cup (90 g),5/13/2019,Breakfast,36,420,2,10,560,92,136
Outtakes - Garden Salad (Large),vegetables,1 serving(s),5/13/2019,Lunch,4,15,0,2,48,12,136
Eggs - Hard Boiled - Large,meats,1 egg,5/13/2019,Lunch,1,62,5,6,78,1,136
Nature Valley - Crunchy Granola Bar (Peanut Butter),dessert,2 bars,5/13/2019,Lunch,11,180,8,4,190,27,136
Asparagus,vegetables,"10 spear, medium",5/13/2019,Dinner,3,3,0,4,32,6,136
Chicken - Roasted,meats,3 medium breast,5/13/2019,Dinner,0,0,12,93,495,0,136
Homemade - Spanish Style Rice,grains,1 cup cooked,5/13/2019,Dinner,0,9,0,4,169,37,136
Homemade - Plain Pinto Beans,fats&seasoning,1 Cup,5/13/2019,Dinner,1,372,1,12,150,36,136
Di Bruno Bros. - Port Wine Sweet & Creamy Cheddar Spread,fats&seasoning,2 oz (28g),5/13/2019,Dinner,8,400,14,8,200,10,136
Club Crackers - Crackers,dessert,8 crackers,5/13/2019,Dinner,2,250,6,1,140,18,136
Hershey's Kit Kat Dark Chocolate - Dark Chocolate King Size,dessert,12 fingers (32g),5/13/2019,Snacks,56,20,36,8,600,80,136
Supermarket - Banana,fruits,1 banana,5/14/2019,Breakfast,0,1,0,0,105,27,136
Dad's breakfast sandwich,grains,2 serving(s),5/14/2019,Breakfast,30,3111,38,42,833,89,136
Tropicana - Homestyle Orange Juice,juice,16 fl oz,5/14/2019,Breakfast,44,0,0,4,220,52,136
Applebee's - Fried Chicken Strips,meats,5 strip,5/14/2019,Lunch,0,1600,30,25,490,35,136
KYF - Milkshake with Peanut Butter,dessert,352 g,5/14/2019,Lunch,44,379,37,22,616,49,136
Homemade - Buffalo Chicken Wrap,meats,1 Wrap,5/14/2019,Lunch,0,756,8,24,275,29,136
Homemade - Buffalo Chicken Wrap,meats,1 Wrap,5/14/2019,Lunch,0,756,8,24,275,29,136
Generic - Fried Cheddar Cheese Balls,fats&seasoning,6 balls,5/14/2019,Dinner,1,0,11,6,137,5,136
Budweiser - Bud Light 4.2,juice,12 oz,5/14/2019,Dinner,0,0,0,1,110,7,136
Homemade - Buffalo Chicken Wrap,meats,1 Wrap,5/14/2019,Dinner,0,756,8,24,275,29,136
peace tea - peach tea,juice,12 fl oz,5/14/2019,Dinner,20,0,0,0,80,21,136
Hershey's Kit Kat Dark Chocolate - Dark Chocolate King Size,dessert,6 fingers (32g),5/14/2019,Snacks,28,10,18,4,300,40,136
Hershey - Reese's,dessert,1 pack,5/14/2019,Snacks,21,150,13,5,210,24,136
Kellog's - Raisin Bran,fruits,88.5 grams,5/15/2019,Breakfast,27,300,2,8,285,71,102
Milk,juice,"2% fat, 2 cup",5/15/2019,Breakfast,25,231,10,16,246,24,102
Supermarket - Banana,fruits,2 banana,5/15/2019,Breakfast,0,2,1,0,210,54,102
Amigo's - Bacon and Egg Burger,grains,1 burger,5/15/2019,Lunch,0,940,50,43,730,28,102
Pats - German Chocolate Pie,dessert,1/8 pie,5/15/2019,Lunch,38,239,30,7,481,51,102
Aladdin - Spaghetti & Meat Sauce,grains,16 oz,5/15/2019,Dinner,13,1212,23,36,702,85,102
Hershey's Kit Kat Dark Chocolate - Dark Chocolate King Size,dessert,6 fingers (32g),5/15/2019,Snacks,28,10,18,4,300,40,102
Kellog's - Raisin Bran,fruits,177 grams,5/16/2019,Breakfast,54,600,3,15,570,141,34
Milk,juice,"2% fat, 2 cup",5/16/2019,Breakfast,25,231,10,16,246,24,34
Waffle House - 2 Scrambled Eggs,meats,2 eggs,5/16/2019,Lunch,2,120,14,12,180,0,34
Denny's - 2 Sausage Links,meats,3 serving(s),5/16/2019,Lunch,0,975,45,15,480,3,34
Biscuits and Gravy - Sausage Gravy & Biscuit,dessert,"2 biscuit, 1/2 cups",5/16/2019,Lunch,0,240,22,48,800,60,34
Jumbo Cinnamon Roll - Homemade,dessert,1 roll,5/16/2019,Lunch,48,20,20,8,618,104,34
English muffin - English Muffin,dessert,2 muffin,5/17/2019,Breakfast,2,400,2,8,240,50,51
Skippy naturals - Peanut butter,fats&seasoning,2 tbsp,5/17/2019,Breakfast,3,150,16,7,190,6,51
Supermarket - Banana,fruits,1 banana,5/17/2019,Breakfast,0,1,0,0,105,27,51
Kellog's - Raisin Bran,fruits,88.5 grams,5/17/2019,Breakfast,27,300,2,8,285,71,51
Milk,juice,"2% fat, 2 cup",5/17/2019,Breakfast,25,231,10,16,246,24,51
Prime Rib - Steak,meats,6 ounces,5/17/2019,Dinner,0,998,54,26,513,3,51
Farm Rich - Jalepeno Poppers,dessert,3 pieces,5/17/2019,Dinner,2,495,14,3,210,18,51
Great Value - Tator Tots,dessert,10 tots,5/17/2019,Dinner,1,330,8,2,160,20,51
Supermarket - Banana,fruits,1 banana,5/17/2019,Snacks,0,1,0,0,105,27,51
Reese's - King Size,dessert,1 package,5/17/2019,Snacks,39,300,24,9,400,44,51
Hershey's Kit Kat Dark Chocolate - Dark Chocolate King Size,dessert,4.5 fingers (32g),5/17/2019,Snacks,21,8,14,3,225,30,51
Thomas - English Muffin With Peanut Butter & Banana,dessert,1 english muffin,5/18/2019,Breakfast,23,350,17,13,430,62,51
A&W Rootbeer - 20oz Bottle,juice,20 oz bottld,5/18/2019,Dinner,75,135,0,0,290,78,51
Dominoes - Meat Lovers Personal Pizza,grains,1 pizza,5/18/2019,Dinner,9,1460,23,41,683,78,51
Lee's Sandwich - Bbq Pork Sandwich,grains,1 Sandwich,5/18/2019,Dinner,12,960,22,26,690,94,51
Lee's Sandwich - Bbq Pork Sandwich,grains,1 Sandwich,5/18/2019,Dinner,12,960,22,26,690,94,51
Hershey's Dipped Pretzels - Chocolate Dipped Pretzels,dessert,12 pieces,5/18/2019,Snacks,24,190,14,4,280,42,51
Lay's - Plain Potato Chips,grains,1 oz chips,5/18/2019,Snacks,1,170,10,2,160,15,51
Veggie Straws - Veggie Straws,dessert,38 straws,5/18/2019,Snacks,1,290,7,1,130,16,51
Milk,juice,"2% fat, 2 cup",5/19/2019,Breakfast,25,231,10,16,246,24,136
Waffles - Waffles,dessert,1 serving,5/19/2019,Breakfast,9,370,7,4,200,31,136
Syrup - Syrup,dessert,2 tbsp,5/19/2019,Breakfast,0,74,0,0,21,12,136
Lucky charms - Lucky Charms,dessert,54 gr,5/19/2019,Breakfast,20,340,2,4,220,44,136
Pepperidge Farm - Cinnamon Swirl Toast,grains,1 slice,5/19/2019,Breakfast,4,110,2,2,80,15,136
Raspberry Jelly - Jelly,dessert,1 tbsp,5/19/2019,Breakfast,12,0,0,0,50,13,136
